Max Stress,Compliance
0.63847,24.986
0.70898,6.3752
0.78972,59.314
0.66749,13.965
0.73467,9.8932
0.66176,14.191
0.67214,17.869
0.77768,35.105
0.91952,36.382
0.82458,20.921
0.78914,21.191
0.69087,32.958
0.79393,47.479
0.67617,66.11
0.56342,52.967
0.79133,19.656
0.62315,63.638
0.65111,6.4671
0.62857,6.131
0.65566,6.0151
0.7278,7.2973
0.66853,14.929
0.66505,13.162
0.63537,6.0405
0.78036,38.24
0.66187,6.0859
0.65598,7.1436
0.54181,48.995
0.72184,63.69
0.65611,68.079
0.79532,43.239
0.71653,69.218
0.75111,30.935
0.8638,33.316
0.73532,14.075
0.67326,23.416
0.80443,28.362
0.62926,6.0991
0.67861,65.518
0.63995,6.0896
0.74399,27.095
0.62346,62.223
0.84949,23.05
0.77208,44.076
0.61795,61.597
0.72933,61.395
0.64184,66.631
0.69816,8.6209
0.73604,12.582
0.70517,63.789
0.78608,41.324
0.87973,29.03
0.78647,43.4
0.78202,61.292
0.77535,33.735
0.68674,9.1498
0.74518,27.665
0.83952,24.671
0.69279,67.066
0.76516,40.968
0.76218,52.302
0.75761,51.762
0.74316,16.567
0.74735,32.727
0.72773,33.595
0.69315,7.2452
0.58113,37.531
0.77976,52.073
0.76645,20.249
0.77661,61.617
0.79427,54.737
0.81533,16.851
0.74586,24.727
0.67351,18.289
0.77217,59.245
0.77934,57.406
0.742,23.091
0.76923,53.632
0.763,65.034
0.61034,63.066
0.77321,47.569
0.6861,6.1832
0.72859,15.318
0.6997,43.514
0.67964,27.69
0.62341,6.0235
0.65135,10.023
0.62532,64.916
0.62993,5.9922
0.72374,63.852
0.64213,6.1354
0.53684,48.612
0.91958,36.917
0.66006,10.064
0.77156,42.551
0.70021,6.659
0.77285,50.439
0.7756,42.979
0.64424,6.3165
0.64166,5.9943
0.65794,8.1317
0.62865,6.0868
0.74582,24.916
0.75031,60.054
0.76856,43.983
0.73122,33.861
0.69239,63.092
0.69846,6.2691
0.74958,65.342
0.7142,6.3352
0.77388,35.985
0.65081,7.7777
0.79277,39.804
0.62803,6.0849
0.58902,58.273
0.6278,64.076
0.62414,65.475
0.79127,65.38
0.6088,30.451
0.66542,12.693
0.6736,6.1472
0.60867,32.512
0.56869,41.66
0.79047,58.174
0.66869,6.1454
0.79822,49.505
0.88017,32.813
0.73438,9.087
0.67019,66.334
0.73299,39.855
0.73829,28.95
0.72565,66.192
0.76295,54.469
0.61561,29.465
0.73682,62.997
0.59814,38.643
0.60206,37.038
0.59568,58.294
0.74433,19.015
0.69851,10.769
0.96055,44.937
0.6571,63.691
0.67141,21.136
0.64325,6.8355
0.8411,27.635
0.72373,14.194
0.7422,22.039
0.61374,62.906
0.82348,22.716
0.73065,19.617
0.73554,19.522
0.67869,7.3664
0.76465,11.812
0.64709,6.255
0.64118,25.235
0.71757,11.433
0.76315,15.436
0.83033,26.766
0.65169,7.5618
0.86999,32.955
0.76438,54.906
0.77182,11.881
0.74245,59.218
0.68214,6.1601
0.73727,25.966
0.63895,6.0651
0.75401,12.107
0.62947,6.1252
0.73831,11.349
0.69877,9.0249
0.79322,14.812
0.72751,9.8893
0.69567,8.3412
0.56585,54.064
0.64456,65.714
0.78508,66.325
0.72729,11.241
0.60432,32.869
0.86087,24.898
0.70283,39.038
0.77225,14.112
0.69815,6.1952
0.67952,28.727
0.66063,9.5133
0.66304,6.0586
0.73557,67.28
0.85798,27.745
0.65822,66.84
0.75401,59.623
0.64984,6.016
0.79224,53.698
0.77754,53.514
0.74358,56.439
0.93501,41.829
0.77909,11.47
0.67206,64.792
0.74657,11.41
0.67807,22.25
0.66162,64.497
0.63648,63.974
0.68239,26.468
0.80587,17.856
0.56427,46.841
0.70398,65.557
0.66228,65.066
0.6866,44.631
0.82118,17.846
0.60788,61.558
0.58983,34.406
0.69932,64.067
0.63615,6.1348
0.92028,37.562
0.56896,53.929
0.64966,9.2617
0.81354,19.013
0.72675,9.9037
0.81849,18.376
0.68035,25.536
0.75801,46.147
0.64028,6.0948
0.79939,39.256
0.76446,15.048
0.78475,11.798
0.75858,12.823
0.65259,8.6704
