heatTransfer,volume,surfaceArea,CGx,CGy,CGz,Ixx,Ixy,Ixz,Iyx,Iyy,Iyz,Izx,Izy,Izz
556.652050,  6.685766,  432.636944,  2.502708,  5.044484,  0.500000,  56.882747,  0.016407,  0.000000,  0.016407,  14.567772,  -0.000000,  0.000000,  -0.000000,  70.211109
615.380858,  6.206572,  451.330934,  2.458869,  4.753396,  0.500000,  53.702227,  -0.119235,  -0.000000,  -0.119235,  13.900802,  -0.000000,  -0.000000,  -0.000000,  66.433806
626.346999,  4.244576,  453.569296,  2.444106,  4.721911,  0.500000,  36.484094,  0.168769,  -0.000000,  0.168769,  9.507390,  0.000000,  -0.000000,  0.000000,  45.181584
642.381567,  2.235218,  456.952698,  2.445406,  4.888338,  0.500000,  18.471012,  0.526777,  -0.000000,  0.526777,  4.798216,  -0.000000,  -0.000000,  -0.000000,  22.833622
695.562402,  2.475193,  461.093184,  2.511055,  5.086976,  0.500000,  21.297613,  0.015984,  0.000000,  0.015984,  5.398384,  -0.000000,  0.000000,  -0.000000,  26.236331
704.380974,  2.026865,  468.744230,  2.464694,  4.791832,  0.500000,  18.596762,  -0.521356,  -0.000000,  -0.521356,  4.632280,  0.000000,  -0.000000,  0.000000,  22.852603
694.874435,  3.586885,  466.024506,  2.439279,  4.914211,  0.500000,  29.585733,  1.067709,  0.000000,  1.067709,  7.600931,  -0.000000,  0.000000,  -0.000000,  36.517843
