gravity,x_width,y_width,z_width,Hot_Channels,Cold_Channels,Hot_Drag,Cold_Drag,c_metal,k_metal,rho_metal,t_min_metal,c_coldfluid,k_coldfluid,rho_coldfluid,mu_coldfluid,Ti_coldfluid,vi_coldfluid,c_hotfluid,k_hotfluid,rho_hotfluid,mu_hotfluid,Ti_hotfluid,vi_hotfluid,max_fill_fraction
9.81, 5, 10, 1, 3, 3, 0.01, 0.01, 500, 19, 7700, 3, 1000, 0.0262, 1.2, 1.81e-05, 303, 20, 4184, 0.606, 1000, 0.00089, 500, 1, 0.8
9.81, 5, 10, 1, 3, 6, 0.01, 0.01, 500, 19, 7700, 3, 1000, 0.0262, 1.2, 1.81e-05, 303, 20, 4184, 0.606, 1000, 0.00089, 500, 1, 0.8
9.81, 5, 10, 1, 3, 6, 0.01, 0.01, 500, 19, 7700, 2, 1000, 0.0262, 1.2, 1.81e-05, 303, 20, 4184, 0.606, 1000, 0.00089, 500, 1, 0.8
9.81, 5, 10, 1, 3, 6, 0.01, 0.01, 500, 19, 7700, 1, 1000, 0.0262, 1.2, 1.81e-05, 303, 20, 4184, 0.606, 1000, 0.00089, 500, 1, 0.8
9.81, 5, 10, 1, 4, 6, 0.01, 0.01, 500, 19, 7700, 1, 1000, 0.0262, 1.2, 1.81e-05, 303, 20, 4184, 0.606, 1000, 0.00089, 500, 1, 0.8
9.81, 5, 10, 1, 4, 7, 0.01, 0.01, 500, 19, 7700, 1, 1000, 0.0262, 1.2, 1.81e-05, 303, 20, 4184, 0.606, 1000, 0.00089, 500, 1, 0.8
9.81, 5, 10, 1, 4, 7, 0.01, 0.01, 500, 19, 7700, 1.5, 1000, 0.0262, 1.2, 1.81e-05, 303, 20, 4184, 0.606, 1000, 0.00089, 500, 1, 0.9
