0,33850,33283,29890,16179,45103,44580,21203,28489,18982,29681,34453,43178,35724,28881,3450.4,34986,33377,30968,31562,41191,25059,28391,36690,13231,22721,17011,25913,40834,28659,32462,32957,27522,29060,23051,30747,35978,23242,30122,33426,10846,21067,32154,38243,34417,22436,32368,38604,28022,35892,30216,31146,23391,33624,36767,27943,27489,32352,34856,24115,36612,18977,22221,22390,29719,22595,37327,23866,22966,36338,34869,32440,11086,30036,33707,31705,33681,29842,25710,24206,49655,33746,46296,24377,45316,22179,43229,25404,28193,33889,4321.8,43911,34405,26671,31540,35327,29603,37477,22500,29781,27787,23347,34119,19477,21803,40681
33850,0,8423.9,14948,19014,15226,15575,15451,27937,18792,50579,57970,14544,15045,51194,32645,57792,5612.8,32010,54970,10332,43837,33851,33365,22309,15463,38265,50371,30928,19184,33710,58679,53136,49334,21943,35892,35538,16384,51301,58115,31250,36959,53285,8217.9,32936,21384,43458,8164.8,22563,11777,28808,11224,17000,54782,39053,49815,50572,8698.6,5599.4,12322,32279,34403,45706,23911,54221,41537,40188,15107,20363,59631,57731,10331,35104,44598,57614,8985.7,57301,27122,14242,47619,19563,58055,17423,41099,15358,43380,39363,30704,53002,55419,31747,36982,41533,52249,28040,9820.5,51746,10116,50010,55222,53078,40393,26880,32931,41231,61826
33283,8423.9,0,12421,18106,16788,15307,16277,29777,19223,48108,56251,12733,17411,49493,32542,56914,11723,34897,53235,11491,42788,35725,35179,21769,16262,37343,48672,32768,17211,35350,56963,50906,47978,19160,37357,37202,14094,49863,56485,29468,34597,52486,9692.9,34076,18711,45965,10976,26590,10935,31135,10324,14869,53478,40737,50305,48323,12030,9131.3,13347,34362,33049,47021,20845,52480,40116,41829,16139,17161,58401,56113,4169.7,35824,46445,55835,9919.9,55879,28895,11310,46143,20502,56363,16744,40098,16177,41659,42172,33506,50999,54130,30768,38911,43198,50357,30918,8086.1,50111,11269,48222,53326,51020,42238,30351,30630,38960,60816
29890,14948,12421,0,14695,20131,16770,12673,35507,21077,39272,47446,15427,26450,41011,29896,48567,19483,39689,44625,15398,34026,40598,42680,20391,20770,29732,40531,40433,5451.9,41868,48915,43050,38990,9510,43098,44235,7130.5,41224,47779,23231,25315,43881,14385,41246,9640.2,48639,13536,31622,7633.7,37159,19623,6606.8,44348,47458,43417,39939,18574,14422,17898,41889,24336,47130,11726,44258,31559,48496,21292,8982.2,49664,47240,11474,35295,49419,47048,17875,47260,35583,5932.3,37597,22832,47812,17820,31169,18420,33109,49280,37088,42971,45151,26631,47373,48600,42511,36383,8329.4,41508,17386,40784,45364,43040,43884,37182,21582,30051,51477
16179,19014,18106,14695,0,29428,28781,8628.1,25315,9927.7,34908,42449,27354,24220,35658,15880,43306,20019,30418,39332,25402,29614,29328,33903,7939.9,12568,22512,34026,34311,15220,31551,42467,36385,34615,11262,31645,34510,8569.4,36359,42068,13002,21675,39061,22750,32234,10832,37682,22962,23481,20411,27434,18141,8821,40191,36902,36357,34411,18960,19885,11836,33438,19664,33230,12008,38123,26572,37804,13680,10467,44665,42245,17578,20935,36500,41706,18012,41930,26320,10589,31331,33806,42314,30471,27414,29512,27587,40944,26242,36593,40805,13700,40075,36954,35599,27422,19563,36340,22238,32850,38790,36489,30491,29687,17941,25161,47720
45103,15226,16788,20131,29428,0,7811,27220,38530,29779,56679,65284,9380.7,22704,58960,44404,66138,18973,44387,62487,7080.2,52127,45764,43292,34588,28239,47458,58706,35927,24469,45040,66832,61018,56768,28372,47227,45850,25104,58775,65500,39866,43809,61482,9692.7,44024,29147,56722,10258,35379,14944,40218,21479,25112,62022,49551,59818,57960,18338,13463,25248,42366,42984,57453,30025,62238,49592,50475,27757,27939,67363,64305,18636,47178,55879,64624,18764,65091,38677,22644,54692,6479,65674,8761.3,49454,4362.2,51550,46846,44007,61106,62847,42767,44983,52516,60694,37464,13439,59365,10648,58837,63373,61062,52275,38284,40610,47640,68422
44580,15575,15307,16770,28781,7811,0,25692,41494,31020,53906,62484,4623.7,26369,56274,44195,63256,20400,45864,59889,5932.7,49099,48149,46606,33804,29101,45443,56037,41042,20783,47616,64248,58540,54100,25604,49826,48929,22770,56204,62869,38625,41056,58544,8985.5,46513,25898,57252,9177.5,37324,10533,43005,23035,22735,59051,52621,57327,55427,19731,13468,25969,45778,40128,58870,27388,59631,46924,53705,28896,24839,64544,61597,16077,47875,58416,61870,19968,62384,41130,20043,52656,8411.2,63034,3103,46113,3711.4,48722,51480,45432,58439,59878,41856,49087,55386,58024,41219,10256,56730,14253,56560,60776,58530,54233,40966,37547,45241,65322
21203,15451,16277,12673,8628.1,27220,25692,0,28603,15139,37781,43886,24440,24776,37190,20377,43467,16983,30711,40865,22344,29345,31829,36207,11244,14431,23711,36047,37369,12748,33997,44413,39191,35324,12577,34709,37085,8198.9,37395,44195,18328,23750,39012,20087,34194,11186,37881,18894,22474,16462,29334,18393,8582.3,40732,39619,35579,36757,17867,17153,12544,35276,20217,36678,14555,39996,27374,40686,15350,11619,45384,44101,15571,25100,39930,43898,17906,43043,28328,9991.6,33856,31149,43854,27349,26989,26624,29082,43053,26623,38893,41293,18291,42146,40040,38009,29862,16682,37718,21907,35622,41028,38994,33834,29729,19598,28303,48115
28489,27937,29777,35507,25315,38530,41494,28603,0,16121,54663,61083,40303,17753,54710,26007,61376,23703,16205,58060,36410,50216,9985.2,10380,23265,16008,42039,52606,15462,38097,9579.8,59771,54206,54563,35430,9994.6,11110,31228,55530,60149,33396,44311,58152,33393,12506,34931,27539,35144,13959,37370,7120.5,20987,32120,59778,13714,52132,53449,23763,29600,18637,10326,41925,27281,35892,56387,47265,14113,15434,33954,62977,61042,31113,21756,19755,60212,22945,60345,6414.6,31104,50419,44067,60521,43516,48586,40610,47949,17656,15404,54738,60179,29531,16657,14826,53459,8364.2,34728,55491,29133,49858,56501,54517,19878,12421,41198,46313,66637
18982,18792,19223,21077,9927.7,29779,31020,15139,16121,0,42399,49732,29736,17364,43281,17517,50511,17437,24128,46692,26619,37922,21630,25010,11045,6840,30023,41311,25000,23357,23250,49181,43146,42536,20125,23528,25780,16384,44017,49044,19908,30317,46763,23580,24384,19790,33679,24754,17482,24828,19216,14311,17046,47979,28456,42612,41723,16231,20024,8179.8,24607,28436,30108,20592,45264,34714,29077,7444.9,18811,51911,49467,19813,18803,29731,48839,14890,49185,17811,16625,38413,34967,49428,32919,35840,30880,35579,31952,20956,43749,48504,18342,30898,28887,42597,18875,22856,43906,20700,39190,45699,43403,25518,22284,26923,32943,55220
29681,50579,48108,39272,34908,56679,53906,37781,54663,42399,0,13957,52787,57137,13046,32417,22058,52635,56255,13068,53192,17916,55020,62561,35953,45853,19280,12896,64089,35397,58978,16511,10771,14270,30590,57534,62173,36025,15153,13027,23824,15648,20238,51617,59706,31412,56426,51168,52972,45887,56047,50639,35161,14885,63018,28481,8451.9,51049,50501,45715,62301,20427,45847,28879,13294,16171,63526,46975,32687,19763,12763,46397,38913,55810,11168,50557,16854,55996,38601,10718,59313,15141,54686,18836,55638,14112,67960,51770,12055,15939,28347,68616,60795,13113,56239,46899,13261,53032,14039,13512,11375,48975,59281,20344,11700,21377
34453,57970,56251,47446,42449,65284,62484,43886,61083,49732,13957,0,61482,65023,9733.5,36886,10492,59623,59979,4829.8,61455,16892,60164,68573,42047,52564,22569,10109,71837,43101,64312,6215.8,10175,11173,39124,62771,67816,43573,10744,4224.8,31220,23332,11361,59530,65569,38973,57296,59076,57809,53615,61994,58924,43026,5945.9,68313,22242,10668,58195,57849,52689,68360,25328,47897,37905,6403.6,18524,68856,53793,40625,6589.4,5589.2,54230,42857,59585,4692.8,58241,4626.5,61912,46493,14042,68122,2717.3,63451,19708,64083,16416,73821,55274,8909.1,5863.5,33407,75134,65662,10137,62910,54956,8853.1,61848,13276,7331.4,8909.6,52567,64662,27195,20580,10894
43178,14544,12733,15427,27354,9380.7,4623.7,24440,40303,29736,52787,61482,0,25437,55189,42807,62453,19405,45363,58831,5868.8,48175,46974,45497,32432,27735,44148,54942,40326,19642,46457,63198,57374,53117,24268,48685,47839,21319,55208,61806,37188,39881,57748,9009.9,45054,24587,56576,8414.1,36442,9321.7,41818,21039,21347,58120,51531,56447,54219,19410,13315,24550,44681,38915,57622,26021,58554,45838,52600,27535,23439,63665,60742,13692,46556,57316,60888,18958,61420,39895,18530,51605,9868.9,62010,4434.1,45236,6343.4,47634,50803,44367,57294,58965,40472,48320,54236,56899,40104,8631.8,55675,13458,55379,59669,57393,52963,40107,36340,44097,64727
35724,15045,17411,26450,24220,22704,26369,24776,17753,17364,57137,65023,25437,0,58148,33960,65492,11526,25982,61928,21241,52198,25788,21288,25353,14287,45094,56825,16684,30883,23747,64894,58898,57161,31106,26304,23986,25687,58601,64575,35940,44773,61440,18796,23256,30661,39732,21365,18851,25208,19933,10096,26546,62744,28007,56824,57008,11588,16165,13744,20709,42526,42113,32291,60764,49178,29008,13029,29182,67033,64718,19865,33345,36905,64222,10395,64476,17609,23835,53958,27883,64867,28233,49624,24951,50534,27041,26637,59167,63349,34903,23797,31639,58212,18459,22106,58870,13982,55307,61332,59109,35360,18739,40867,47870,69732
28881,51194,49493,41011,35658,58960,56274,37190,54710,43281,13046,9733.5,55189,58148,0,31085,14391,52926,54228,5186.3,54978,11945,54172,62602,35159,45942,15565,5531.8,66034,36760,58384,10507,9809.4,4689.6,32746,56983,62005,36886,3756.5,11819,25786,18001,11778,53113,59504,32494,52441,52453,51704,47317,55613,51965,36322,9181.6,62696,21703,6032.4,51709,51330,45938,62229,18116,43973,31722,5591.8,10872,63271,47143,34143,12904,12617,47534,37571,55040,11582,51576,8794.9,55633,39852,12979,61856,9191.5,57156,13158,57848,9426.2,68604,49630,6317.5,9838.2,27256,69062,60163,7823.2,56885,48465,1427.8,54888,11137,7774.8,8151.3,47876,58538,20933,17421,18464
3450.4,32645,32542,29896,15880,44404,44195,20377,26007,17517,32417,36886,42807,33960,31085,0,37018,31663,28296,33918,40510,26903,25609,34226,11937,20876,18593,28305,38857,28959,29804,35322,30231,31030,23855,28083,33518,23279,32148,35969,13088,23318,34002,37506,31878,23154,29837,37778,25328,35556,27466,29639,23523,35778,34260,29113,29938,31076,33920,22432,34063,20495,20256,23555,32069,24358,34875,22001,23602,38574,37386,31886,8430.6,27627,36302,30505,35920,27321,25699,26851,49046,36164,45975,26010,44786,24364,40869,22462,30709,36047,5964.1,41537,31942,29207,29042,34880,31758,36546,25149,32253,30341,20781,31422,21481,24504,42973
34986,57792,56914,48567,43306,66138,63256,43467,61376,50511,22058,10492,62453,65492,14391,37018,0,59175,58389,11468,61933,15401,59907,68565,42147,52757,23404,13756,73012,44301,64086,10867,16304,13804,40738,62645,67754,44391,14280,12715,33213,26239,5493.7,59995,65596,40197,54344,59275,56349,54170,61887,59666,43936,9257.7,68229,15080,17038,58142,57813,52903,68298,26035,47665,39932,11788,20034,68895,53988,42018,4950.3,13761,54536,42796,59599,14184,58643,7442.7,61751,47367,18543,69098,9656.3,64305,19107,64925,18373,73946,53673,14435,7695.2,33933,75397,65614,14427,63367,55611,13436,62935,16601,12904,14720,52417,63688,28911,24938,10816
