max_field,avg_field,scattering,extinction,absorption
7.0543,1.902,1.8769e-16,3.5188e-16,1.6419e-16
4.6697,1.9858,1.5732e-16,3.1991e-16,1.6259e-16
7.2974,2.7581,4.7631e-16,1.0204e-15,5.4404e-16
12.17,4.0681,2.4417e-15,4.6317e-15,2.19e-15
6.4207,2.3937,3.0502e-16,6.4096e-16,3.3594e-16
6.7416,2.4643,3.3429e-16,7.0626e-16,3.7197e-16
13.743,1.5428,1.61e-14,2.0773e-14,4.6724e-15
4.2523,1.9117,6.68e-17,1.7199e-16,1.0519e-16
5.2008,2.1225,2.186e-16,4.3578e-16,2.1718e-16
8.9751,3.5374,8.9083e-16,2.0754e-15,1.1846e-15
6.4171,2.3312,3.695e-17,1.9803e-16,1.6108e-16
